ptf,PTFS,PTFG,PTFH1,PTFH2,PTFH3,PTFH4,PTFH5,HVSC
140.91,140.91,149.99,148.75,74.99,150,110.73,100.02,3
140.91,140.91,149.99,149.99,80.01,150,116,100.06,3
140.91,140.91,154.99,148.99,54,150,100.07,90,3
140.94,140.91,179.99,150,80,154.99,100.05,115.99,3.67
160.9,140.94,300.01,155,100.99,160,110.01,117.99,5.5
160.94,160.9,600.05,164.99,125,170,130,130,6.5
160.96,160.94,978.03,168.67,130.16,179.99,134.75,142.22,9
160.97,160.96,500.08,165,132,170,140.01,144.99,9.5
160.96,160.97,500.01,165,134.94,170,145,149,10.5
160.96,160.96,450.05,165,129.99,169.99,145,148,11.33
160.95,160.96,299.99,165,129.27,169.99,148.75,149.99,10
160.96,160.95,300,165,139.01,170,150,150.94,8.5
160.98,160.96,481.94,170,149.99,179.99,154.99,154.99,7
164.99,160.98,663.73,179.99,149.99,179.99,154.99,154.99,5.5
165,164.99,450.08,170,139.99,179.99,154.99,154.99,5
161,165,250.01,170,139.96,179.99,150,150,5.33
160.99,161,250,169.99,139.92,179.99,149.99,150,5
161,160.99,250,169.99,139.82,175.01,150,150.1,5
160.97,161,199.99,164.99,130,169.99,147.86,149.99,5
159.99,160.97,149.99,155,110,149.99,128.99,117.99,4.5
149.99,159.99,140.96,150,74.99,135,100.07,110.01,4
139.99,149.99,140.93,142.36,68.99,118,75,90,4
125,139.99,140.91,139.99,50,104.36,69,89.99,2.5
125,125,140.91,134.74,50,100.1,69,90,2.5
134.74,125,140.91,140,51,110.04,74.99,90.4,2.5
149.23,134.74,140.91,140.01,74.99,135,109.99,116,3
159.99,149.23,140.91,150,106.55,150,134.93,130.01,3
200,159.99,140.94,165,139.92,169.99,150,150,4
756.1,200,160.9,190,146.39,250,156,155,6
999.99,756.1,160.94,250.01,149.99,298.75,160,155.99,7.5
999.99,999.99,160.96,275,150,303.83,164.99,160,9
999.99,999.99,160.97,200,148.75,250,159.99,155,9.5
999.99,999.99,160.96,200,150,250,160,155,11
999.99,999.99,160.96,249.99,151.01,250,164.99,155.99,11
999.01,999.99,160.95,180,150,250,160,155,11.5
999,999.01,160.96,180,151.01,271.06,165,159.99,9.5
925.87,999,160.98,200,156.15,310.05,170,165,9
952.13,925.87,164.99,180,149.99,250.01,164.99,155,8
599.17,952.13,165,170,139.99,199.99,155,154.99,9
450.05,599.17,161,166.21,139.93,180,154.99,150,7.67
250.01,450.05,160.99,164.99,130.9,170,150,149.99,7
250.01,250.01,161,169.99,150,176.99,155,154.99,7
199.99,250.01,160.97,160,141.68,165.78,150,149.99,6.5
140.77,199.99,159.99,154.99,139.99,149.99,139.99,138.99,6
140.39,140.77,149.99,149.99,119.51,139.95,130.93,124.89,7
140,140.39,139.99,139.99,100.02,120,115.99,114.36,7
134.73,140,125,131.99,100,110,103.68,100,6.5
134.73,134.73,125,130,98.99,108.25,100.08,99.01,4.5
140,134.73,134.74,132,99,111.76,110.01,104.74,3
140.29,140,149.23,140.01,100.04,134.74,129.99,125.59,3
140.61,140.29,159.99,150,120,145.01,139.99,134,3
160.78,140.61,200,160,145,154.99,149.99,149.16,3.67
165,160.78,756.1,179.99,165,159.99,159.99,154.74,4
179.99,165,999.99,199.99,170,164.99,160,154.99,4
180,179.99,999.99,250,175.04,164.99,160.01,154.99,4.5
170,180,999.99,180,169.99,159.99,158.99,150,5
169.99,170,999.99,199.99,170,160,159.99,150,5.5
170,169.99,999.99,200,170,160,160,150,5.33
169.99,170,999.01,180,165,160,160,150,5.5
169.99,169.99,999,180,169.99,165,165,154.99,5.5
170,169.99,925.87,180,175.06,169.99,170,155,5.5
164.99,170,952.13,180,165,160,164.99,153.99,4.5
169.99,164.99,599.17,176,156.23,155,155,149.99,4
164.99,169.99,450.05,170,150,154.74,154.99,134.75,4.33
160.9,164.99,250.01,169.99,149.99,149.99,151.99,130,4
165,160.9,250.01,169.99,155,155,159.99,150.06,4
160.93,165,199.99,165,150,154.99,154.99,148.87,4.5
140.89,160.93,140.77,155,149.99,134.99,150,128,4
140.41,140.89,140.39,145,132.01,131.89,140,115.99,2
140.09,140.41,140,138.99,114.12,117.99,134.74,109.99,1.67
139.99,140.09,134.73,129.99,100.09,105,125.01,100.05,1.5
139.99,139.99,134.73,129.95,100.09,100.01,123.03,99.01,1.5
140.01,139.99,140,130,106.61,105,129.99,99,1
140.3,140.01,140.29,144.99,125.01,123.89,140,115.99,1.5
140.63,140.3,140.61,149.99,139.99,129.99,149.99,120.01,2
160.58,140.63,160.78,161.73,154.99,149.96,155,145,1.67
179.99,160.58,165,180,169.99,152.48,170,152.75,2
192.99,179.99,179.99,250.01,180,154.99,175.09,154.99,1.5
200,192.99,180,299.99,190.01,154.99,179.99,154.99,2
180,200,170,201.08,180,150,170,150,2.5
180,180,169.99,250,180,154.74,170.01,150.01,2
199.01,180,170,250,180,154.99,175.02,154.99,2
180,199.01,169.99,200,180,154.75,170.01,150,2.5
180,180,169.99,200,180,154.99,175.07,154.99,3
180,180,170,250.01,180.05,155,180,159.99,2
180,180,164.99,250,179.99,152.47,175.06,150,2.5
170,180,169.99,180,165,150,169.5,148,3
169.6,170,164.99,179.99,160,149.96,160,131.98,3
164.99,169.6,160.9,170,159.99,140,155,120.4,3.5
179.99,164.99,165,179.99,165,149.99,160,154.99,4
164.99,179.99,160.93,170,160,142.92,155,149.99,4
149.99,164.99,140.89,160,159.99,139.97,164.99,130.02,4
140.61,149.99,140.41,154.99,150,129.99,155,116,5
140.18,140.61,140.09,150,146.8,110.01,150.01,109.99,4.33
140,140.18,139.99,149.99,136.04,90.9,150,100,5
139.99,140,139.99,149.99,136.03,89.99,150,100,3.5
140.09,139.99,140.01,149.99,141.98,105.01,150,110,3.5
140.34,140.09,140.3,154.99,149.99,125.01,154.99,117.99,4
140.67,140.34,140.63,159.99,154.99,139.94,159.99,133.58,5
160.87,140.67,160.58,179.99,165,149.99,180,149.99,5
180,160.87,179.99,300.01,195.09,155,220,154.99,5
218,180,192.99,387.99,250,160,260.04,154.99,6
250,218,200,499.98,250.01,164.99,300.01,155,6.5
217.99,250,180,350.01,226.05,159.99,210.49,154.99,6
200,217.99,180,350.01,249.99,160,227.66,155,7
218,200,199.01,350.01,250,160,250,155,6.33
200,218,180,350.01,200,160,250,155,6
200,200,180,350.01,243.38,159.99,250.99,155,5.5
218,200,180,391.88,275,165,400,160,5
200,218,180,350.07,250,159.99,250.1,152.5,5
180,200,170,330.88,180,153.28,204.95,148.75,4.5
179.99,180,169.6,250.01,180,149.21,200,147.85,5
170,179.99,164.99,200,179.99,139.99,185.07,136.99,5
179.99,170,179.99,200,180,154.99,185.09,154.99,4.5
169.99,179.99,164.99,179.99,170,149.99,180,149.99,2.5
149.99,169.99,149.99,150,154.99,148,165,134,1
127.23,149.99,140.61,149.99,148.75,134,154.99,122.19,1.5
125,127.23,140.18,136.03,133.99,117.99,150,115.99,2
124.99,125,140,128.99,124.68,81.99,149.99,101.51,2
124.99,124.99,139.99,125,128.99,74.99,149.99,100.01,2
124.99,124.99,140.09,130,129.99,105,149.99,110.01,2
125,124.99,140.34,149.99,140,130.01,150,125,1.5
140.12,125,140.67,150,150,148.99,159.99,134,1
170,140.12,160.87,179.99,165,155,171.99,150,0.5
200,170,180,400,249.99,169.99,220,154.99,0
250.01,200,218,500,250.01,169.99,260.01,159.99,0
300,250.01,250,644.99,270.08,170,265.04,160,0
199.99,300,217.99,363,199.99,164.99,201.46,154.99,0
200,199.99,200,400.02,250,169.99,250.01,159.99,0
247.99,200,218,400.06,250,170,250.01,159.99,0
200,247.99,200,400,250,169.99,201.62,155,0
199.99,200,200,400.02,202.11,169.99,250,159.99,-1
248,199.99,218,450.02,270.02,170,275.01,160,-0.5
218,248,200,450.02,200,165,249.99,154.99,0
180.5,218,180,400,179.99,159.99,199.99,150,0
180,180.5,179.99,250,170,154.99,199.99,149.99,0
180,180,170,190.73,165,153.27,180,143.01,0
179.99,180,179.99,199.99,165,159.99,180,154.99,0
170,179.99,169.99,180,160,154.99,179.99,149.99,0
149.99,170,149.99,179.99,198.11,139.99,170,135,0
132,149.99,127.23,164.99,170,125.99,160,129.99,0
124.99,132,125,150,164.99,110.01,155,119.91,-0.33
124,124.99,124.99,149.99,160,90,155,113.69,-1
124,124,124.99,149.99,159.99,54,154.99,112.99,-1
124,124,124.99,149.99,159.99,75,155,114.82,-1.5
124.99,124,125,149.99,155,94.8,155,121.95,-2
125,124.99,140.12,154.99,159.99,100,159.99,117.99,-1.5
140.01,125,170,179.99,170,130,170,135,0
160,140.01,200,300.01,250,149.01,200,150,1.5
165,160,250.01,600.05,275.05,148,280.09,155,2
165,165,300,978.03,328.37,150,302.63,159.89,3
164.99,165,199.99,500.08,300,150,280.02,154.99,3
164.99,164.99,200,500.01,275.06,149.99,250.01,154.99,3
160,164.99,247.99,450.05,250.01,149.01,235,154.99,3
159.99,160,200,299.99,250,144.99,200,151.51,3
150.01,159.99,199.99,300,250.01,145,201.47,154.99,2
160,150.01,248,481.94,320,149.99,275,155,1.5
164.99,160,218,663.73,350,144,275,154.99,2
163.99,164.99,180.5,450.08,250.01,140.01,275.01,150,2
153,163.99,180,250.01,200,134.94,220.07,148,1.67
150,153,180,250,180,127.3,199.99,139.99,1.5
160,150,179.99,250,180,149.1,199.99,150,1
150,160,170,199.99,179.99,144.12,180,149.99,1
140,150,149.99,149.99,165,130.68,169.99,134,0.5
124.99,140,132,140.96,164.99,116,159.99,123.94,-2
110.43,124.99,124.99,140.93,155,115.99,154.99,120.01,-1.33
103.23,110.43,124,140.91,150,85.01,150,115.99,0.5
100.02,103.23,124,140.91,149.99,74.99,150,110.23,1
100.05,100.02,124,140.91,148.75,74.99,150,110.73,-0.5
97.1,100.05,124.99,140.91,149.99,80.01,150,116,-0.5
97.09,97.1,125,140.91,148.99,54,150,100.07,1
110,97.09,140.01,140.94,150,80,154.99,100.05,1.5
124.99,110,160,160.9,155,100.99,160,110.01,3
129,124.99,165,160.94,164.99,125,170,130,4
140,129,165,160.96,168.67,130.16,179.99,134.75,4.5
140,140,164.99,160.97,165,132,170,140.01,5
138.74,140,164.99,160.96,165,134.94,170,145,5
133.99,138.74,160,160.96,165,129.99,169.99,145,5.33
130.78,133.99,159.99,160.95,165,129.27,169.99,148.75,5
137,130.78,150.01,160.96,165,139.01,170,150,5
149.99,137,160,160.98,170,149.99,179.99,154.99,4
150,149.99,164.99,164.99,179.99,149.99,179.99,154.99,3
150,150,163.99,165,170,139.99,179.99,154.99,3
149.99,150,153,161,170,139.96,179.99,150,4
149.99,149.99,150,160.99,169.99,139.92,179.99,149.99,3.5
149.99,149.99,160,161,169.99,139.82,175.01,150,4
145,149.99,150,160.97,164.99,130,169.99,147.86,4
124.99,145,140,159.99,155,110,149.99,128.99,5
116,124.99,124.99,149.99,150,74.99,135,100.07,3
101.04,116,110.43,139.99,142.36,68.99,118,75,2.33
80.92,101.04,103.23,125,139.99,50,104.36,69,2
81.99,80.92,100.02,125,134.74,50,100.1,69,3
100.04,81.99,100.05,134.74,140,51,110.04,74.99,3
110.01,100.04,97.1,149.23,140.01,74.99,135,109.99,3
124.99,110.01,97.09,159.99,150,106.55,150,134.93,3.5
140.01,124.99,110,200,165,139.92,169.99,150,4
151,140.01,124.99,756.1,190,146.39,250,156,5
160.7,151,129,999.99,250.01,149.99,298.75,160,6
165,160.7,140,999.99,275,150,303.83,164.99,7.5
160,165,140,999.99,200,148.75,250,159.99,7.5
160,160,138.74,999.99,200,150,250,160,8
164.99,160,133.99,999.99,249.99,151.01,250,164.99,8
164.99,164.99,130.78,999.01,180,150,250,160,9
164.99,164.99,137,999,180,151.01,271.06,165,8.5
169.99,164.99,149.99,925.87,200,156.15,310.05,170,7
164.99,169.99,150,952.13,180,149.99,250.01,164.99,7
159,164.99,150,599.17,170,139.99,199.99,155,8
149.99,159,149.99,450.05,166.21,139.93,180,154.99,7.33
148,149.99,149.99,250.01,164.99,130.9,170,150,6
150,148,149.99,250.01,169.99,150,176.99,155,5.5
149.99,150,145,199.99,160,141.68,165.78,150,5.5
135.49,149.99,124.99,140.77,154.99,139.99,149.99,139.99,5.5
125,135.49,116,140.39,149.99,119.51,139.95,130.93,5
119.99,125,101.04,140,139.99,100.02,120,115.99,5
110.09,119.99,80.92,134.73,131.99,100,110,103.68,4
110.08,110.09,81.99,134.73,130,98.99,108.25,100.08,4
112.76,110.08,100.04,140,132,99,111.76,110.01,4
123.99,112.76,110.01,140.29,140.01,100.04,134.74,129.99,4
125,123.99,124.99,140.61,150,120,145.01,139.99,5
149.99,125,140.01,160.78,160,145,154.99,149.99,5.67
159.6,149.99,151,165,179.99,165,159.99,159.99,6.5
159.99,159.6,160.7,179.99,199.99,170,164.99,160,7.5
160,159.99,165,180,250,175.04,164.99,160.01,8.5
159.99,160,160,170,180,169.99,159.99,158.99,9
159.99,159.99,160,169.99,199.99,170,160,159.99,9
164.99,159.99,164.99,170,200,170,160,160,9
163.32,164.99,164.99,169.99,180,165,160,160,8.5
160,163.32,164.99,169.99,180,169.99,165,165,8
165,160,169.99,170,180,175.06,169.99,170,8
160,165,164.99,164.99,180,165,160,164.99,6
159.99,160,159,169.99,176,156.23,155,155,6.5
150,159.99,149.99,164.99,170,150,154.74,154.99,6
149.6,150,148,160.9,169.99,149.99,149.99,151.99,4.5
150,149.6,150,165,169.99,155,155,159.99,3.5
149.99,150,149.99,160.93,165,150,154.99,154.99,4
144.99,149.99,135.49,140.89,155,149.99,134.99,150,4
125,144.99,125,140.41,145,132.01,131.89,140,4
124.99,125,119.99,140.09,138.99,114.12,117.99,134.74,3.67
121.99,124.99,110.09,139.99,129.99,100.09,105,125.01,3
121.99,121.99,110.08,139.99,129.95,100.09,100.01,123.03,4
122,121.99,112.76,140.01,130,106.61,105,129.99,4
124.99,122,123.99,140.3,144.99,125.01,123.89,140,4
133.99,124.99,125,140.63,149.99,139.99,129.99,149.99,5
150.01,133.99,149.99,160.58,161.73,154.99,149.96,155,5.33
170,150.01,159.6,179.99,180,169.99,152.48,170,6.5
179.99,170,159.99,192.99,250.01,180,154.99,175.09,8
180,179.99,160,200,299.99,190.01,154.99,179.99,10
173.99,180,159.99,180,201.08,180,150,170,10
179.99,173.99,159.99,180,250,180,154.74,170.01,10.5
180,179.99,164.99,199.01,250,180,154.99,175.02,10.33
179.99,180,163.32,180,200,180,154.75,170.01,10.5
179.99,179.99,160,180,200,180,154.99,175.07,8
180,179.99,165,180,250.01,180.05,155,180,7
179.99,180,160,180,250,179.99,152.47,175.06,6
169.99,179.99,159.99,170,180,165,150,169.5,7
164.99,169.99,150,169.6,179.99,160,149.96,160,6.67
160,164.99,149.6,164.99,170,159.99,140,155,6
164.99,160,150,179.99,179.99,165,149.99,160,5.5
159.99,164.99,149.99,164.99,170,160,142.92,155,5.5
139.99,159.99,144.99,149.99,160,159.99,139.97,164.99,5
125,139.99,125,140.61,154.99,150,129.99,155,5
124.99,125,124.99,140.18,150,146.8,110.01,150.01,5
123.74,124.99,121.99,140,149.99,136.04,90.9,150,5
123.74,123.74,121.99,139.99,149.99,136.03,89.99,150,5
124.99,123.74,122,140.09,149.99,141.98,105.01,150,5
125,124.99,124.99,140.34,154.99,149.99,125.01,154.99,5
130.69,125,133.99,140.67,159.99,154.99,139.94,159.99,5
150,130.69,150.01,160.87,179.99,165,149.99,180,5
164.99,150,170,180,300.01,195.09,155,220,6.5
169.99,164.99,179.99,218,387.99,250,160,260.04,6.5
169.99,169.99,180,250,499.98,250.01,164.99,300.01,8
165,169.99,173.99,217.99,350.01,226.05,159.99,210.49,9
169.99,165,179.99,200,350.01,249.99,160,227.66,9
170,169.99,180,218,350.01,250,160,250,9.67
169.99,170,179.99,200,350.01,200,160,250,10.5
169.99,169.99,179.99,200,350.01,243.38,159.99,250.99,9.5
170,169.99,180,218,391.88,275,165,400,8.5
169.99,170,179.99,200,350.07,250,159.99,250.1,5.5
165,169.99,169.99,180,330.88,180,153.28,204.95,4
160,165,164.99,179.99,250.01,180,149.21,200,3.33
150,160,160,170,200,179.99,139.99,185.07,2.5
155.99,150,164.99,179.99,200,180,154.99,185.09,2
150,155.99,159.99,169.99,179.99,170,149.99,180,3.5
150,150,139.99,149.99,150,154.99,148,165,4
143,150,125,127.23,149.99,148.75,134,154.99,3
125,143,124.99,125,136.03,133.99,117.99,150,3
125,125,123.74,124.99,128.99,124.68,81.99,149.99,3
125,125,123.74,124.99,125,128.99,74.99,149.99,4
125,125,124.99,124.99,130,129.99,105,149.99,4
130,125,125,125,149.99,140,130.01,150,4.5
150,130,130.69,140.12,150,150,148.99,159.99,5
170,150,150,170,179.99,165,155,171.99,5
199.99,170,164.99,200,400,249.99,169.99,220,6
200.13,199.99,169.99,250.01,500,250.01,169.99,260.01,6.5
200.27,200.13,169.99,300,644.99,270.08,170,265.04,6.5
180,200.27,165,199.99,363,199.99,164.99,201.46,7
180,180,169.99,200,400.02,250,169.99,250.01,7
199.99,180,170,247.99,400.06,250,170,250.01,7
180,199.99,169.99,200,400,250,169.99,201.62,6.5
180,180,169.99,199.99,400.02,202.11,169.99,250,7
199.99,180,170,248,450.02,270.02,170,275.01,6
200,199.99,169.99,218,450.02,200,165,249.99,6
180,200,165,180.5,400,179.99,159.99,199.99,6
179.99,180,160,180,250,170,154.99,199.99,5.67
170,179.99,150,180,190.73,165,153.27,180,5.5
179.87,170,155.99,179.99,199.99,165,159.99,180,5
165,179.87,150,170,180,160,154.99,179.99,6
150,165,150,149.99,179.99,198.11,139.99,170,6
144.99,150,143,132,164.99,170,125.99,160,6
125,144.99,125,124.99,150,164.99,110.01,155,6
124.99,125,125,124,149.99,160,90,155,6
124.99,124.99,125,124,149.99,159.99,54,154.99,5
124.99,124.99,125,124,149.99,159.99,75,155,5
124.99,124.99,130,124.99,149.99,155,94.8,155,5
125,124.99,150,125,154.99,159.99,100,159.99,5.5
150,125,170,140.01,179.99,170,130,170,6.67
170,150,199.99,160,300.01,250,149.01,200,7
179.99,170,200.13,165,600.05,275.05,148,280.09,7.5
180,179.99,200.27,165,978.03,328.37,150,302.63,8
179.99,180,180,164.99,500.08,300,150,280.02,7.5
179.99,179.99,180,164.99,500.01,275.06,149.99,250.01,8.5
170,179.99,199.99,160,450.05,250.01,149.01,235,9
169.99,170,180,159.99,299.99,250,144.99,200,10
165,169.99,180,150.01,300,250.01,145,201.47,9.5
170,165,199.99,160,481.94,320,149.99,275,8.5
179.99,170,200,164.99,663.73,350,144,275,8
179.99,179.99,180,163.99,450.08,250.01,140.01,275.01,9.5
169.99,179.99,179.99,153,250.01,200,134.94,220.07,8.67
164.99,169.99,170,150,250,180,127.3,199.99,8.5
168.09,164.99,179.87,160,250,180,149.1,199.99,7.5
164.99,168.09,165,150,199.99,179.99,144.12,180,7.5
150,164.99,150,140,149.99,165,130.68,169.99,9.5
133.99,150,144.99,124.99,140.96,164.99,116,159.99,5
124.99,133.99,125,110.43,140.93,155,115.99,154.99,5.33
123.75,124.99,124.99,103.23,140.91,150,85.01,150,4
122,123.75,124.99,100.02,140.91,149.99,74.99,150,4
122,122,124.99,100.05,140.91,148.75,74.99,150,3.5
123.74,122,124.99,97.1,140.91,149.99,80.01,150,3.5
120.01,123.74,125,97.09,140.91,148.99,54,150,5.5
125,120.01,150,110,140.94,150,80,154.99,7
142.98,125,170,124.99,160.9,155,100.99,160,9.5
150,142.98,179.99,129,160.94,164.99,125,170,9.5
159.99,150,180,140,160.96,168.67,130.16,179.99,9.5
159.99,159.99,179.99,140,160.97,165,132,170,10
159.99,159.99,179.99,138.74,160.96,165,134.94,170,9.5
158.91,159.99,170,133.99,160.96,165,129.99,169.99,9.67
150.01,158.91,169.99,130.78,160.95,165,129.27,169.99,9.5
150.58,150.01,165,137,160.96,165,139.01,170,9.5
159.99,150.58,170,149.99,160.98,170,149.99,179.99,9.5
164.99,159.99,179.99,150,164.99,179.99,149.99,179.99,8
165,164.99,179.99,150,165,170,139.99,179.99,9
160,165,169.99,149.99,161,170,139.96,179.99,10
159.99,160,164.99,149.99,160.99,169.99,139.92,179.99,10
159.99,159.99,168.09,149.99,161,169.99,139.82,175.01,9.5
150,159.99,164.99,145,160.97,164.99,130,169.99,9.5
139,150,150,124.99,159.99,155,110,149.99,8.5
125,139,133.99,116,149.99,150,74.99,135,8.5
123.74,125,124.99,101.04,139.99,142.36,68.99,118,8.33
110.06,123.74,123.75,80.92,125,139.99,50,104.36,7.5
110.06,110.06,122,81.99,125,134.74,50,100.1,7
115.99,110.06,122,100.04,134.74,140,51,110.04,6
124.99,115.99,123.74,110.01,149.23,140.01,74.99,135,6
135,124.99,120.01,124.99,159.99,150,106.55,150,5.5
164.99,135,125,140.01,200,165,139.92,169.99,5.67
179.99,164.99,142.98,151,756.1,190,146.39,250,6
180,179.99,150,160.7,999.99,250.01,149.99,298.75,6
200,180,159.99,165,999.99,275,150,303.83,6
179.99,200,159.99,160,999.99,200,148.75,250,6
180,179.99,159.99,160,999.99,200,150,250,6
180,180,158.91,164.99,999.99,249.99,151.01,250,5.67
180,180,150.01,164.99,999.01,180,150,250,5
179.99,180,150.58,164.99,999,180,151.01,271.06,4
180.56,179.99,159.99,169.99,925.87,200,156.15,310.05,3.5
180,180.56,164.99,164.99,952.13,180,149.99,250.01,3
170,180,165,159,599.17,170,139.99,199.99,3
164.99,170,160,149.99,450.05,166.21,139.93,180,2.67
157.44,164.99,159.99,148,250.01,164.99,130.9,170,2
164.99,157.44,159.99,150,250.01,169.99,150,176.99,2
155,164.99,150,149.99,199.99,160,141.68,165.78,2
139.99,155,139,135.49,140.77,154.99,139.99,149.99,1.5
124.99,139.99,125,125,140.39,149.99,119.51,139.95,1
122,124.99,123.74,119.99,140,139.99,100.02,120,1.33
116,122,110.06,110.09,134.73,131.99,100,110,1
116,116,110.06,110.08,134.73,130,98.99,108.25,1
121.99,116,115.99,112.76,140,132,99,111.76,1
123.75,121.99,124.99,123.99,140.29,140.01,100.04,134.74,0
125,123.75,135,125,140.61,150,120,145.01,0
159.99,125,164.99,149.99,160.78,160,145,154.99,0
179.99,159.99,179.99,159.6,165,179.99,165,159.99,0.5
180,179.99,180,159.99,179.99,199.99,170,164.99,2
184.99,180,200,160,180,250,175.04,164.99,3.5
170.35,184.99,179.99,159.99,170,180,169.99,159.99,2.5
174.99,170.35,180,159.99,169.99,199.99,170,160,2.5
179.99,174.99,180,164.99,170,200,170,160,2
175,179.99,180,163.32,169.99,180,165,160,2
179.99,175,179.99,160,169.99,180,169.99,165,2
180,179.99,180.56,165,170,180,175.06,169.99,1
180,180,180,160,164.99,180,165,160,0
170,180,170,159.99,169.99,176,156.23,155,-0.5
164.99,170,164.99,150,164.99,170,150,154.74,-1
159.99,164.99,157.44,149.6,160.9,169.99,149.99,149.99,0
164.99,159.99,164.99,150,165,169.99,155,155,-1
158.26,164.99,155,149.99,160.93,165,150,154.99,-0.5
135.48,158.26,139.99,144.99,140.89,155,149.99,134.99,-1
124.46,135.48,124.99,125,140.41,145,132.01,131.89,-1
124.99,124.46,122,124.99,140.09,138.99,114.12,117.99,-1
121.99,124.99,116,121.99,139.99,129.99,100.09,105,-1.5
122,121.99,116,121.99,139.99,129.95,100.09,100.01,-1
124.99,122,121.99,122,140.01,130,106.61,105,-1.5
124.99,124.99,123.75,124.99,140.3,144.99,125.01,123.89,-2
130.69,124.99,125,133.99,140.63,149.99,139.99,129.99,-1
160,130.69,159.99,150.01,160.58,161.73,154.99,149.96,-1
180,160,179.99,170,179.99,180,169.99,152.48,0.5
200,180,180,179.99,192.99,250.01,180,154.99,2
209.99,200,184.99,180,200,299.99,190.01,154.99,3
180,209.99,170.35,173.99,180,201.08,180,150,3
180,180,174.99,179.99,180,250,180,154.74,3
199.99,180,179.99,180,199.01,250,180,154.99,3
180,199.99,175,179.99,180,200,180,154.75,3
180,180,179.99,179.99,180,200,180,154.99,3
199.06,180,180,180,180,250.01,180.05,155,2
189.59,199.06,180,179.99,180,250,179.99,152.47,1
179.99,189.59,170,169.99,170,180,165,150,1.5
165,179.99,164.99,164.99,169.6,179.99,160,149.96,1
159.99,165,159.99,160,164.99,170,159.99,140,0
162,159.99,164.99,164.99,179.99,179.99,165,149.99,0.5
155,162,158.26,159.99,164.99,170,160,142.92,0
149.99,155,135.48,139.99,149.99,160,159.99,139.97,1
129,149.99,124.46,125,140.61,154.99,150,129.99,0.5
125,129,124.99,124.99,140.18,150,146.8,110.01,0.33
124.99,125,121.99,123.74,140,149.99,136.04,90.9,0.5
124.99,124.99,122,123.74,139.99,149.99,136.03,89.99,0.5
125,124.99,124.99,124.99,140.09,149.99,141.98,105.01,0.5
125,125,124.99,125,140.34,154.99,149.99,125.01,0
149.99,125,130.69,130.69,140.67,159.99,154.99,139.94,0
150,149.99,160,150,160.87,179.99,165,149.99,1
170,150,180,164.99,180,300.01,195.09,155,2.5
179.99,170,200,169.99,218,387.99,250,160,2.5
180,179.99,209.99,169.99,250,499.98,250.01,164.99,3.5
174.99,180,180,165,217.99,350.01,226.05,159.99,4
171.87,174.99,180,169.99,200,350.01,249.99,160,3
179.99,171.87,199.99,170,218,350.01,250,160,2
175,179.99,180,169.99,200,350.01,200,160,1.5
175,175,180,169.99,200,350.01,243.38,159.99,1
179.99,175,199.06,170,218,391.88,275,165,1.5
179.99,179.99,189.59,169.99,200,350.07,250,159.99,2.5
169.99,179.99,179.99,165,180,330.88,180,153.28,3
160,169.99,165,160,179.99,250.01,180,149.21,2.5
159.59,160,159.99,150,170,200,179.99,139.99,3
164.99,159.59,162,155.99,179.99,200,180,154.99,2.5
160,164.99,155,150,169.99,179.99,170,149.99,2
164.99,160,149.99,150,149.99,150,154.99,148,3
153.99,164.99,129,143,127.23,149.99,148.75,134,2
150,153.99,125,125,125,136.03,133.99,117.99,2
149.99,150,124.99,125,124.99,128.99,124.68,81.99,2
149.99,149.99,124.99,125,124.99,125,128.99,74.99,2
149.99,149.99,125,125,124.99,130,129.99,105,2
150,149.99,125,130,125,149.99,140,130.01,2
159.99,150,149.99,150,140.12,150,150,148.99,2
165,159.99,150,170,170,179.99,165,155,2.33
200,165,170,199.99,200,400,249.99,169.99,4
209.53,200,179.99,200.13,250.01,500,250.01,169.99,4.5
200.08,209.53,180,200.27,300,644.99,270.08,170,5
179.99,200.08,174.99,180,199.99,363,199.99,164.99,5
180,179.99,171.87,180,200,400.02,250,169.99,6
199.07,180,179.99,199.99,247.99,400.06,250,170,6
182.11,199.07,175,180,200,400,250,169.99,6
180,182.11,175,180,199.99,400.02,202.11,169.99,5.5
200,180,179.99,199.99,248,450.02,270.02,170,5.5
200.06,200,179.99,200,218,450.02,200,165,6
180,200.06,169.99,180,180.5,400,179.99,159.99,6.5
179.99,180,160,179.99,180,250,170,154.99,6.33
165,179.99,159.59,170,180,190.73,165,153.27,6.5
179.99,165,164.99,179.87,179.99,199.99,165,159.99,6.5
169.99,179.99,160,165,170,180,160,154.99,6
164.99,169.99,164.99,150,149.99,179.99,198.11,139.99,6.5
149.99,164.99,153.99,144.99,132,164.99,170,125.99,6
140,149.99,150,125,124.99,150,164.99,110.01,6
129,140,149.99,124.99,124,149.99,160,90,6
121,129,149.99,124.99,124,149.99,159.99,54,6
121,121,149.99,124.99,124,149.99,159.99,75,6
121,121,150,124.99,124.99,149.99,155,94.8,6
124,121,159.99,125,125,154.99,159.99,100,6
148,124,165,150,140.01,179.99,170,130,6
179.99,148,200,170,160,300.01,250,149.01,7
180,179.99,209.53,179.99,165,600.05,275.05,148,6
184.99,180,200.08,180,165,978.03,328.37,150,7.5
180,184.99,179.99,179.99,164.99,500.08,300,150,4.5
179.99,180,180,179.99,164.99,500.01,275.06,149.99,4
179.99,179.99,199.07,170,160,450.05,250.01,149.01,4
