Open,High,Low,Close,Volume,Adj Close
239.153595,241.594452,238.23703,477.768311,11391600,238.645493
238.411377,239.093811,236.887085,476.222565,7417000,237.873398
239.103775,239.786224,237.166046,476.681305,7963300,238.102539
238.157333,241.320465,237.664169,479.862549,8280600,239.691574
239.138657,240.299301,238.271896,477.698486,5873200,238.610626
238.680374,239.77626,234.809875,470.089386,7309600,234.809875
235.213364,235.522202,231.218338,467.715912,7343800,233.624313
233.449966,234.660431,231.995422,464.5047,6148300,232.020325
232.239502,236.149857,231.776245,471.934326,7215200,235.731415
234.18222,236.533417,232.070145,469.830109,7929500,234.680359
235.188461,235.527191,232.364044,465.990631,6062700,232.762543
232.194672,233.210861,231.497284,465.531891,5831900,232.533401
232.204636,234.984222,231.073883,467.96524,7808800,233.748856
232.64798,233.868408,229.649216,460.206543,7400100,229.873383
230.052704,232.628052,229.639252,465.462097,5910100,232.498535
231.870895,232.882095,229.141129,460.515686,7774300,230.027802
230.117462,230.406387,227.850952,456.746002,8268800,228.144852
230.13739,235.686584,228.652954,471.31601,13157500,235.422577
235.347855,236.722702,234.52594,469.670563,9356100,234.600662
235.133667,235.467407,233.997925,469.032318,7419400,234.28186
233.888336,238.705276,232.488571,469.311523,12364700,234.421326
235.616852,238.610626,235.616852,474.557098,7706700,237.041504
239.512253,240.802414,235.990448,472.672302,10158300,236.100037
236.687836,238.705276,234.869644,473.031342,8378400,236.279373
238.954346,241.569534,237.743881,482.196167,10736900,240.857208
241.594452,244.98175,241.096313,485.776337,10475000,242.645508
241.345383,248.488602,240.598175,497.234863,14545800,248.369049
249.345398,253.440048,247.601929,496.546753,17915400,248.025345
249.564575,251.567062,248.035309,499.029938,9633800,249.265686
248.025345,254.301819,247.865936,505.681671,14255200,252.588242
253.923233,258.530975,252.3591,517.419434,20972400,258.451263
257.410156,259.417633,256.667938,516.831055,15832400,258.157349
258.904572,262.266968,255.29808,513.649841,21340600,256.568329
257.1362,258.849762,253.778778,514.078613,12764000,256.782501
256.050262,258.157349,254.04776,509.940002,9330100,254.715271
253.405182,254.879654,250.645523,503.38797,12887000,251.442535
252.598206,253.320496,248.413879,503.856689,14120600,251.676651
251.746399,251.995453,249.913269,501.463257,9277000,250.48114
253.146149,253.549637,249.679138,504.504913,12394400,252.000443
252.144897,257.03656,251.178528,513.789429,9707900,256.638062
256.045288,257.659241,254.814896,512.901855,8743200,256.194733
257.514771,258.406433,253.579529,508.57373,8708800,254.032822
254.535934,256.682892,252.194717,512.702393,8852400,256.095093
257.245789,261.514771,257.086365,523.542664,14461300,261.509796
263.502319,266.496094,260.712799,525.975952,15909300,262.72525
265.370331,265.604462,262.137451,528.808228,11421500,264.139954
261.519745,263.009186,258.809906,524.84906,12292000,262.162354
261.459991,263.761353,260.921997,523.572571,8368000,261.52475
262.027863,262.715271,258.760101,521.26886,7790200,260.374054
261.763855,264.931976,261.121246,528.927856,7001200,264.199707
264.538452,266.202209,262.765106,532.877014,3757500,266.172333
266.780029,271.183533,265.081421,540.147034,9922700,269.803711
269.61441,270.919525,268.359131,537.923157,5514400,268.692871
270.486145,273.345428,269.121277,541.074524,7487500,270.266968
270.879669,272.478668,269.81366,541.852356,7740800,270.655518
270.790009,272.229614,268.996735,542.979309,6643300,271.218414
271.910797,272.638092,269.101349,543.836914,6908900,271.64679
272.931976,275.303101,272.60321,550.648193,10513300,275.049042
274.122528,278.24707,273.629364,551.475952,13248300,275.462494
276.483673,277.823639,275.15863,553.480469,8689500,276.463745
275.910828,276.214691,270.889648,547.995544,12205500,273.72403
275.696625,275.726501,270.107574,547.088013,22337700,273.270721
254.994217,260.613159,253.798706,518.695923,35677700,259.088867
258.53595,259.029083,255.118759,511.106781,12761000,255.29808
253.699066,258.376556,252.60817,512.592651,11185900,256.040283
257.524719,257.544647,251.83606,508.364288,11131400,253.928207
253.42012,255.337936,248.50853,506.609131,13818300,253.051498
253.315506,257.345398,251.806168,510.488495,11059400,254.989243
255.502319,258.700317,254.296829,514.69696,7956200,257.09137
259.143677,259.24826,254.04776,508.603638,8572900,254.04776
254.296829,257.290619,253.121246,511.535614,8889500,255.512283
255.900818,256.533447,253.549637,509.610901,6333400,254.550888
254.072678,255.641785,250.560837,501.622833,6376100,250.560837
250.560837,254.122482,250.311768,508.603638,7330300,254.04776
253.923233,258.96933,253.569565,514.607178,8560500,257.046539
258.700317,261.908295,257.579529,524.340454,8168000,261.908295
259.427612,262.426361,256.354126,513.320679,9729200,256.403931
254.137436,258.391479,251.870926,514.337891,11794300,256.912018
258.799957,258.904572,255.557114,514.088623,6382300,256.787506
256.897095,257.733948,253.051498,507.207489,7294500,253.350388
253.549637,254.889618,247.427582,496.187744,10859500,247.846008
245.091339,247.288101,239.332916,490.174255,17355900,244.84227
247.791214,249.564575,244.907028,498.670929,10999800,249.086365
250.29184,250.34166,247.073914,496.556732,5414700,248.030319
248.538422,253.131195,247.955597,505.222931,7248200,252.3591
254.027847,257.161102,253.674164,511.34613,6529700,255.417633
257.03656,257.101318,252.553375,510.787659,6176400,255.138672
255.3479,256.812408,253.300568,513.589966,4963800,256.538422
256.254486,257.75885,254.745148,511.854706,4667500,255.671677
254.809906,256.528473,251.950623,505.013519,6572200,252.254486
